OrganisationName,Addr2,PostCode,City,Province,CountryCode,IsSupplier,Currency
MSO,Lindenstraße 35,39317,Parey,Sachsen-Anhalt,DE,yes,EUR
Hans-Dieter Neumann,Tannenweg 42,19217,Vitense,Mecklenburg-Vorpommern,DE,yes,EUR
Cintia,Bergstraße 34,1594,Gleina,Sachsen,DE,no,EUR
Mustafa Michel,Brunnenstraße 33,25779,Hennstedt,Schleswig-Holstein,DE,no,EUR
Frank Eismann,Dorfstraße 18,34270,Schauenburg,Hessen,DE,no,EUR
Elis Management Consultants,Bahnhofstraße 47,75305,Neuenbürg,Baden-Württemberg,DE,no,EUR
Hans-Jürgen Dahl,Beethovenstraße 38,25337,Seeth-Ekholt,Schleswig-Holstein,DE,no,EUR
Albium,Wiesenweg 18,39517,Bittkau,Sachsen-Anhalt,DE,yes,EUR
Lothar Wittek Foods Deutschland GmbH,Goethestraße 4,67731,Reichenbacherhof,Rheinland-Pfalz,DE,no,EUR
Wireology,Hauptstraße 1,85662,Hohenbrunn,Bayern,DE,no,EUR
Polexis Krankenversicherung Deutschland GmbH & Co. KG,Raiffeisenstraße 8,65620,Waldbrunn,Hessen,DE,yes,EUR
GigaSoft,Am Bahnhof 33,19348,Steinberg,Brandenburg,DE,no,EUR
Parexon Automotive,Hauptstraße 7,91717,Wassertrüdingen,Bayern,DE,no,EUR
Leorius,Kirchstraße 27,17111,Verchen,Mecklenburg-Vorpommern,DE,yes,EUR
VentureWorld,Im Winkel 26,93464,Tiefenbach,Bayern,DE,yes,EUR
Christian Himmel Dörzbach GmbH & Co. KG,Bachstraße 49,66871,Reichweiler,Rheinland-Pfalz,DE,no,EUR
Herbert Müller Deutschland KG,Mühlweg 41,19065,Kritzow,Mecklenburg-Vorpommern,DE,no,EUR
SolarWorks,Ringstraße 39,99198,Kerspleben,Thüringen,DE,no,EUR
Avoni,Beethovenstraße 36,31094,Marienhagen,Niedersachsen,DE,no,EUR
TradeTech,Schulstraße 37,39619,Schrampe,Sachsen-Anhalt,DE,no,EUR
WebStation,Ringstraße 22,24852,Süderhackstedt,Schleswig-Holstein,DE,yes,EUR
Singia,Dorfstraße 29,14662,Warsow,Brandenburg,DE,no,EUR
QTE,Ringstraße 34,67707,Schopp,Rheinland-Pfalz,DE,yes,EUR
Hermann Gebauer,Dorfstraße 38,53518,Kottenborn,Rheinland-Pfalz,DE,no,EUR
YourSpace,Breslauer Straße 21,96166,Kirchlauter,Bayern,DE,yes,EUR
Leina Deutschland GmbH,Kapellenweg 23,54636,Rittermühle,Rheinland-Pfalz,DE,no,EUR
XHX Emissions Technologies,Am Sportplatz 7,83359,Hallabruck,Bayern,DE,no,EUR
HGI,Hauptstraße 12,22946,Brunsbek,Schleswig-Holstein,DE,no,EUR
HEM Versicherung,Ringstraße 41,17375,Liepgarten,Mecklenburg-Vorpommern,DE,yes,EUR
HCQ Deutschland gemeinnützige GmbH,Tulpenweg 33,95186,Höchstädt,Bayern,DE,no,EUR
Karl-Heinz Haarmann Computer Deutschland GmbH,Neue Straße 17,55569,Langenthal,Rheinland-Pfalz,DE,no,EUR
Philipp Hartmann,Industriestraße 19,23992,Poischendorf Molkerei,Mecklenburg-Vorpommern,DE,yes,EUR
Viktor Zimmer,Berliner Straße 35,23948,Parin,Mecklenburg-Vorpommern,DE,yes,EUR
FHB,Danziger Straße 34,88273,Fronreute,Baden-Württemberg,DE,yes,EUR
MySoft,Hauptstraße 38,14913,Kurzlipsdorf,Brandenburg,DE,yes,EUR
Lindess Deutschland GmbH,Kapellenweg 8,29693,Böhme,Niedersachsen,DE,no,EUR
SGV Versand,Bahnhofstraße 37,1909,Großharthau,Sachsen,DE,no,EUR
ION,Goethestraße 41,15910,Wittmannsdorf-Bückchen,Brandenburg,DE,no,EUR
TeleSphere Energie,Wiesenstraße 47,54634,Birtlingen,Rheinland-Pfalz,DE,no,EUR
Adolf Keller,Tulpenweg 47,19073,Wittenförden,Mecklenburg-Vorpommern,DE,no,EUR
Altalon,Hauptstraße 26,23689,Hobbersdorf,Schleswig-Holstein,DE,no,EUR
CyberCard,Waldstraße 15,66894,Bechhofen,Rheinland-Pfalz,DE,yes,EUR
Leexon,Wiesenstraße 26,65558,Burgschwalbach,Rheinland-Pfalz,DE,no,EUR
TFA,Wiesenweg 37,85092,Köschinger Waldhaus,Bayern,DE,no,EUR
SRK,Neue Straße 44,83071,Stephanskirchen,Bayern,DE,yes,EUR
RPB Ebenwies Aktiengesellschaft,Amselweg 38,67808,Bennhausen,Rheinland-Pfalz,DE,yes,EUR
UEH Zentrale,Mittelweg 47,35066,Frankenberg,Hessen,DE,no,EUR
YWT,Dorfstraße 9,15910,Rietzneuendorf-Friedrichshof,Brandenburg,DE,yes,EUR
TJA Packaging,Mittelstraße 36,9661,Rossau,Sachsen,DE,yes,EUR
Evana Oil,Dorfstraße 36,99625,Großneuhausen,Thüringen,DE,yes,EUR
Jürgen Holzinger,Hauptstraße 48,39356,Siestedt,Sachsen-Anhalt,DE,yes,EUR
Alstrorius,Talstraße 45,9526,Rübenau,Sachsen,DE,no,EUR
Esconi,Dorfstraße 20,55606,Heinzenberg,Rheinland-Pfalz,DE,no,EUR
JHO Industrieanlagen,Im Winkel 39,86391,Stadtbergen,Bayern,DE,no,EUR
Lindicom Pneumatik,Birkenweg 23,15320,Wulkow,Brandenburg,DE,no,EUR
FJO Media,Kirchweg 8,7429,Sitzendorf,Thüringen,DE,no,EUR
Surtexis,Breslauer Straße 45,74389,Cleebronn,Baden-Württemberg,DE,no,EUR
Auria Komptendorf AG,Bahnhofstraße 32,96163,Gundelsheim,Bayern,DE,no,EUR
Bernd Merz,Dorfstraße 8,97447,Frankenwinheim,Bayern,DE,no,EUR
Dieter Schäfer Fünfeichen GmbH & Co. oHG,Bahnhofstraße 30,17459,Koserow,Mecklenburg-Vorpommern,DE,no,EUR
Arton,Meisenweg 30,99976,Zella,Thüringen,DE,no,EUR
ZGD,Finkenweg 15,86704,Tagmersheim,Bayern,DE,no,EUR
ZHY Deutschland AG,Dorfstraße 32,18292,Bellin,Mecklenburg-Vorpommern,DE,yes,EUR
AutoSpace Hammah AG,Mühlenweg 43,83556,Griesstätt,Bayern,DE,no,EUR
Dietmar Uhrig,Amselweg 33,23911,Pogeez,Schleswig-Holstein,DE,yes,EUR
Belergy,Lindenstraße 42,66484,Walshausen,Rheinland-Pfalz,DE,no,EUR
Avandor Uthlede GmbH,Ringstraße 22,25712,Burg,Schleswig-Holstein,DE,yes,EUR
Leon,Eichenweg 32,77728,Oppenau,Baden-Württemberg,DE,yes,EUR
FTV,Beethovenstraße 35,67753,Aschbach,Rheinland-Pfalz,DE,no,EUR
Rolf Pfeffer Warenhaus,Lindenweg 48,88422,Dürnau,Baden-Württemberg,DE,yes,EUR
XRL Seedorf AG,Burgstraße 49,39517,Bittkau,Sachsen-Anhalt,DE,no,EUR
